keywords,labels,weight,distance,range,Notes?,,
emigration migration && instability conflict conflicted conflicting conflicts confront confronted confronting confronts crises crisis dispute disputed disputes disputing issue issues struggle struggles struggling tension tensioned tensions turmoil unrest chaos disorder,geopolitical,-80,20,7,,,
fights fighting conflict conflicted conflicting conflicts confront confronted confronting && over && resources,geopolitical,-80,20,7,,,
oil && conflict conflicts,geopolitical,-100,20,4,,,
gulf && tension tensions war,geopolitical,-150,20,3,,,
gulf && persian,geopolitical,-100,20,2,,,
china chinese && hongkong && tension intense confict,geopolitical,-100,20,7,,,
china chinese && hong && kong && tension intense confict,geopolitical,-100,20,5,,,
china chinese && india indian,geopolitical,-50,20,6,,,
china chinese && india indian && disagree disagrees fights fight clash clashes debate debates argue argues arguing,geopolitical,-100,20,10,,,
china chinese && us trump usa && disagree disagrees fights fight clash clashes debate debates argue argues arguing,geopolitical,-100,20,10,,,
trump america us && taliban,geopolitical,-150,20,10,,,
russia putin russian && trump eu america europe asia america us usa,geopolitical,-100,20,10,,,
orban && europe eu putin,geopolitical,-100,20,5,,,
us usa america && iran && disagree disagrees fights fight clash clashes debate debates argue argues arguing,geopolitical,-100,20,7,,,
international foreign && tentions instability conflict conflicted conflicting conflicts confront confronted confronting confronts crises crisis dispute disputed disputes disputing issue issues struggle struggles struggling tension tensioned tensions turmoil unrest chaos disorder,geopolitical,-100,20,7,,,
south east && asia && tensions conflicts conflict,geopolitical,-100,20,7,,,
arab palestina && israeli,geopolitical,-100,20,7,,,
arab palestina israeli && conflict,geopolitical,-100,20,7,,,
un vn && intervene intervenes saction sactions,geopolitical,-100,20,7,,,
russia russian putin && taliban,geopolitical,-100,20,12,,,
talbian isis,geopolitical,-150,20,12,,,
arms && trade trading,geopolitical,-100,20,12,,,
ethnic && instability conflict conflicted conflicting conflicts confront confronted confronting confronts crises crisis dispute disputed disputes disputing issue issues struggle struggles struggling tension tensioned tensions turmoil unrest chaos disorder,geopolitical,-150,20,12,,,
call && for && understanding && regions region,geopolitical,-100,20,7,,,
annexing annex annexation,geopolitical,-75,20,7,,,
anti && globalisation,geopolitical,-75,20,3,,,
communism communist && capitalism capitalist,geopolitical,-75,20,3,,,
conflict && regions,geopolitical,-110,20,8,,,
interventions && globally,geopolitical,-110,20,8,,,
undermining && countries country sovereignties sovereign sovereignty,geopolitical,-120,20,8,,,
judea && samalia,geopolitical,-80,20,2,,,
government && against && sovereignty sovereign,geopolitical,-80,20,7,,,
huge && emigration,geopolitical,-100,15,2,,,
sniffing && attack attacks,cybersecurity,-80,20,7,,,
cookies cookie,cybersecurity,-30,20,7,,,
bitcoin bitcoins crypto cryptocurrency digital && wallet && stolen stole stealing steal theft,data-breach cybersecurity,-80,20,7,,,
bitcoin bitcoins crypto cryptocurrency digital && scam scams,data-breach cybersecurity,-80,20,7,,,
ics computer digital electronic internet && environment,cybersecurity,-60,20,7,,,
ics computer digital electronic internet && environment && attack target targeting targets attacked attacks attacking,cybersecurity,-70,20,7,,,
it computer internet electronic digital && vulnerabilities surveillance,cybersecurity,-50,20,7,,,
it computer internet electronic digital cyber && crime crimes criminal,cybersecurity,-80,20,7,,,
computer it internet electronic digital && forensics surveillance,cybersecurity,-80,20,7,,,
ddos trojan macrovirus,cybersecurity,-100,20,7,,,
macro && virus,cybersecurity,-100,20,7,,,
ransomware malware thunderspy,cybersecurity,-100,20,7,,,
ransomware malware && attack attacked hack hacked hacks hacking,data-breach cybersecurity,-80,20,7,,,
cve,cybersecurity,-100,20,7,,,
common && vulnerabilities && exposures exposure exposed,cybersecurity,-100,15,7,,,
open && source && vulnerabilities,cybersecurity,-100,20,7,,,
worm && infiltrated infiltration infiltrate,cybersecurity,-100,20,7,,,
zero && day && exploit exploits exploited,cybersecurity,-100,20,7,,,
cloud && down,cybersecurity,-100,20,2,,,
cloud && storage,cybersecurity,-30,20,2,,,
cloud && only && technologies,cybersecurity,-30,20,3,,,
keylogger,cybersecurity,-70,20,7,,,
pasword paswords && leakage leaking leaks leaked vulnerabilities,data-breach cybersecurity,-80,20,7,,,
password passwords && theft steal stealing stolen stole,data-breach cybersecurity,-100,20,7,,,
passwordless,cybersecurity,-50,20,7,,,
identified indentify && ip && addresses address,cybersecurity,-80,20,4,,,
hacked hack hacks hacking target targeted targets && ip && addresses address,data-breach cybersecurity,-140,20,3,,,
downtime,cybersecurity,-80,20,7,,,
phishing spearphishing,cybersecurity,-150,20,7,,,
spyware,cybersecurity,-100,20,7,,,
it && security securities,cybersecurity,-50,20,2,,,
computer internet botnet electronic digital && security securities,cybersecurity,-50,20,7,,,
botnet botnets,cybersecurity,-30,20,7,,,
two && factor step && verification authentication,cybersecurity,-20,15,3,,,
security && verification verifications,cybersecurity,-50,20,7,,,
2fa,cybersecurity,-50,20,7,,,
owasp && list lists,cybersecurity,-50,20,7,,,
waf && solution solutions,cybersecurity,-50,20,7,,,
honeypot,cybersecurity,-50,5,7,,,
honeypots,cybersecurity,-50,20,7,,,
use usage && honeypot,cybersecurity,-50,20,7,,,
malicious && botnet internet link firmware,cybersecurity,-100,20,7,,,
reconnaissance recon && attack vulnerability vulnerabilities,cybersecurity data-breach,-50,15,5,,,
fake && email emails mail mails,cybersecurity,-100,20,7,,,
access && token && manipulation,data-breach cybersecurity,-100,20,7,,,
bombards attack attacks attacked && data && center,cybersecurity,-100,20,7,,,
attack && vector vectors,cybersecurity,-100,20,7,,,
threat && hunting,cybersecurity,-100,20,7,,,
penetration pen && testing test,cybersecurity,-50,20,7,,,
ethical && hacking hack,cybersecurity,-50,20,7,,,
binary && padding,cybersecurity,-50,20,2,,,
anti && virus,cybersecurity,-50,20,7,,,
antivirus,cybersecurity,-50,20,7,,,
firewall,cybersecurity,-50,20,7,,,
unified && threat && management,cybersecurity,-50,20,4,,,
devices && to && counter,cybersecurity,-50,20,4,,,
backup && as && service,cybersecurity,-50,20,7,,,
baas,cybersecurity,-50,15,7,,,
red blue && team,cybersecurity,-50,20,1,,,
siem ids && system systems,cybersecurity,-50,20,2,,,
indruder indruders intrusion && detection && systems system,data-breach cybersecurity,-50,20,3,,,
security && information && event && management,cybersecurity,-50,20,3,,,
bootkit rootkit,cybersecurity,-50,20,7,,,
attackers && abuse abused,cybersecurity,-100,20,3,,,
data database databases document documents records && attack attacked attacks blatantly breach breached breaches cyber cyberattack cyberattacks cybersecurity deliberatly doctored doctoring faked faking false falsely falsified falsify falsifying fraudulent fraudulently hack hacked hacker hackers hacking hacks hid hidden hiding intentionally knowingly leak leaked leaking leaks mislead misleading misled wilfully withheld withholding withholds wrongly,data-breach cybersecurity,-180,15,7,,,
customer data database databases document documents records && security && attack attacked attacks blatantly breach breached breaches cyber cyberattack cyberattacks cybersecurity deliberatly doctored doctoring faked faking false falsely falsified falsify falsifying fraudulent fraudulently hack hacked hacker hackers hacking hacks hid hidden hiding intentionally knowingly leak leaked leaking leaks mislead misleading misled wilfully withheld withholding withholds wrongly,data-breach cybersecurity,-180,15,7,,,
customer data database databases document documents records && security && cracked misclassified misclassify misrepresentation misrepresented misrepresenting misunderstood risk risks risky,data-breach cybersecurity,-140,15,7,,,
computer cyber digital && attack attacks threats && victim victims,data-breach cybersecurity,-120,15,7,,,
cyberterrorism cyberterrorist,data-breach cybersecurity,-110,25,8,,,
cyber && terrorism terrorist terrorists terror,data-breach cybersecurity,-110,25,8,,,
cyberattack cyberattacks && avert averted averts avoid avoided avoiding avoids prevent prevented preventing prevention solutions solve solved solving,data-breach cybersecurity,-100,10,8,,,
cyberattack cyberattacks && battle battles battling combat fight fighting fights fought,data-breach cybersecurity,-100,10,8,,,
